fno,gender,role,stress1,stress2,stress3
101,2,1,2, , 
101,1,2,2, , 
104,1,1,4, , 
104,2,2,5, , 
105,1,1,3,4,2
105,2,2,5,4,4
106,2,1,5,3,5
106,1,2,3,3,1
107,2,1,3,1,4
107,1,2,3,2,5
108,1,1,1,2,5
108,2,2,4,2,4
109,2,1,4,3,4
110,1,1,2,3,2
110,2,2,2,5,5
111,2,1,2,2,4
111,1,2,2, ,3
112,2,1,5,3,5
112,1,2,4,4,4
113,1,1,2,3,4
113,2,2,3, ,3
114,2,1,2,2,2
114,1,2,5,2,5
115,1,1,2, ,4
115,2,2,4, ,1
116,2,1,3,5,4
117,2,1,3,3,1
117,1,2,4,2,5
118,1,1,3,3,2
119,2,1,2,3,3
120,2,1,3,2,3
121,2,1,4,4,5
122,2,1,2,1,1
122,1,2,3,3,1
123,2,1,3,3,5
123,1,2,4,2,3
124,1,1,2, ,2
124,2,2,2, ,3
125,2,1,1,1,5
125,1,2,3,1,2
126,2,1,4,3,3
127,2,1,2,1,5
127,1,2,3, ,5
128,2,1,4, , 
129,2,1,4, , 
129,1,2,3, , 
130,1,1,3,2,1
130,2,2,3, ,4
131,2,1,3, , 
132,1,1,1, , 
132,2,2,5, , 
134,1,1,2, , 
135,2,1,2, , 
135,1,2,3, , 
136,2,1,3, , 
137,2,1,5, , 
138,2,1,2, , 
201,2,1,3, , 
202,2,1,2, , 
204,2,1,1,3,4
204,1,2,3,3,3
205,2,1,3,4,5
205,1,2,1,3,4
206,2,1,4, ,4
207,1,1,2,3,2
207,2,2,4,5,2
208,2,1,4,2,1
208,1,2,3,3,4
209,2,1,4, ,5
209,1,2,3,3,5
210,1,1,1,5,3
210,2,2,3, ,2
211,2,1,3,2,4
211,1,2,3, ,5
212,2,1,3,3,5
212,1,2,3,4,5
213,2,1,4,3,5
214,1,1,2,2,4
214,2,2,3,2,5
215,1,1,3,3,5
215,2,2,3,3,4
216,1,1,3,2,5
216,2,2,3,1,3
217,1,1,5, , 
217,2,2,4,4,2
218,2,1,5,2,4
218,1,2,3,3,4
219,2,1,5,4,3
219,1,2,5,4,3
220,2,1,3,2,4
221,2,1,2,2,4
221,1,2,3, ,4
222,1,1,1,3,3
222,2,2,4,4, 
223,2,1,2, ,4
223,2,2, ,2, 
224,2,1,5,3, 
224,1,2,3,1,5
225,1,1,3,2,2
225,2,2,3, ,1
225,2,2,3, ,4
227,2,1,5,3,3
227,1,2,3,3,4
228,2,2,4,5,2
229,1,1,4,3,4
229,2,2, ,4, 
230,1,1,3,2,3
230,2,2,4,3,3
231,1,1,4, ,4
231,2,2,5, ,5
232,2,1,2, ,3
232,1,2,1, ,3
233,2,1,3, ,3
233,1,2,3, ,4
234,1,1,3, ,2
234,2,2,3, ,5
235,1,1,4, ,4
235,2,2, , ,3
236,2,1,4, ,4
237,2,1,4, ,3
237,1,2,2, ,4
238,2,1,3, ,1
238,1,2,4, ,2
239,2,1,1, , 
240,2,1,3, ,4
240,1,2,4, , 
241,2,1,4, ,5
241,1,2,4, ,4
242,2,1,4, ,4
304,2,1,2,3,3
304,1,2,3,4,5
305,2,1,4,3,4
305,1,2,3, ,4
306,2,1,5,3,1
306,1,2,4,4,5
307,2,1,4,2,3
307,1,2,3,4,3
308,2,1,3, ,4
308,1,2,2, ,4
309,2,1,3,3,5
309,1,2,5, ,4
310,2,1,1, ,2
311,2,1,5,5,4
312,2,1,4,4,3
313,2,1,4, ,4
315,2,1,3,3,2
315,1,2,3,4,5
316,2,1,2,2,2
317,1,1,3,1,5
317,2,2,5, ,2
318,2,1,2,2,4
318,1,2,2,3,5
319,2,1,4,4,5
319,1,2,3, ,4
320,1,1,3,3,3
320,2,2,3,4,2
321,1,1,4,5,3
321,2,2,3,5,5
322,2,1,3,2,4
323,2,1,3,4,5
324,2,1,3,1,3
325,2,1,4,4,3
325,1,2,4,1,4
326,2,1,3, ,5
327,2,1,5,2,5
328,2,1,3, ,3
328,1,2,3, ,5
329,2,1,3, ,4
329,1,2,3, ,5
330,2,1,2, ,5
332,2,1,3, ,3
332,1,2,2, ,4
333,2,1,3, ,3
333,1,2,3, ,5
401,2,1,4, , 
401,1,2,4, , 
404,1,1,3, ,3
404,2,2,4, ,5
